"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0626";"Voorschoten";"2223";"Katwijk";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2251";"Voorschoten";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"<5";"5";"9";"<5";"10";"6";"10";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2252";"Voorschoten";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"17";"35";"23";"21";"33";"19";"30";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2253";"Voorschoten";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2254";"Voorschoten";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"5";"<5";"5";"<5";"<5";"<5";"<5";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2261";"Leidschendam-Voorburg";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2263";"Leidschendam-Voorburg";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2315";"Leiden";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2332";"Leiden";"03NT";"00";"RK Basissch De Regenboog";"2252TR";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Rooms-Katholiek";"41447";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0626";"Voorschoten";"2171";"Teylingen";"06IX";"00";"BS de Vink";"2253VX";"VOORSCHOTEN";"Zuid-Holland";"Bo";"Samenwerking Opb., RK";"40745";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
