"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0865";"Vught";"5224";"'s-Hertogenbosch";"04ZW";"00";"Basissch De Springplank";"5261VK";"VUGHT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40706";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5261";"Vught";"04ZW";"00";"Basissch De Springplank";"5261VK";"VUGHT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40706";"0";"10";"20";"20";"13";"26";"18";"21";"20";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5262";"Vught";"04ZW";"00";"Basissch De Springplank";"5261VK";"VUGHT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40706";"0";"<5";"5";"5";"6";"6";"<5";"7";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5263";"Vught";"04ZW";"00";"Basissch De Springplank";"5261VK";"VUGHT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40706";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5271";"Sint-Michielsgestel";"04ZW";"00";"Basissch De Springplank";"5261VK";"VUGHT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40706";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"40";"Onbekend";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5071";"Tilburg";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5074";"Tilburg";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5076";"Oisterwijk";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5151";"Heusden";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5251";"Heusden";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5252";"Heusden";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5261";"Vught";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0865";"Vught";"5262";"Vught";"05BQ";"00";"BS Dr Landman";"5268AC";"HELVOIRT";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40848";"0";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
