"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1949";"Waadhoeke";"8814";"Waadhoeke";"03SM";"00";"RK Basissch St Radbodus";"9035ED";"DRONRYP";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"8816";"Waadhoeke";"03SM";"00";"RK Basissch St Radbodus";"9035ED";"DRONRYP";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"8841";"Waadhoeke";"03SM";"00";"RK Basissch St Radbodus";"9035ED";"DRONRYP";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"8851";"Waadhoeke";"03SM";"00";"RK Basissch St Radbodus";"9035ED";"DRONRYP";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"8915";"Leeuwarden";"03SM";"00";"RK Basissch St Radbodus";"9035ED";"DRONRYP";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"9034";"Waadhoeke";"03SM";"00";"RK Basissch St Radbodus";"9035ED";"DRONRYP";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"9035";"Waadhoeke";"03SM";"00";"RK Basissch St Radbodus";"9035ED";"DRONRYP";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"18";"24";"24";"23";"9";"13";"16";"17";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"9036";"Waadhoeke";"03SM";"00";"RK Basissch St Radbodus";"9035ED";"DRONRYP";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"1075";"Amsterdam";"04IY";"00";"IKC De Syl";"9078VE";"OUDEBILDTZIJL";"Friesland";"Bo";"Protestants-Christelijk";"42656";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"9071";"Leeuwarden";"04IY";"00";"IKC De Syl";"9078VE";"OUDEBILDTZIJL";"Friesland";"Bo";"Protestants-Christelijk";"42656";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1949";"Waadhoeke";"9072";"Waadhoeke";"04IY";"00";"IKC De Syl";"9078VE";"OUDEBILDTZIJL";"Friesland";"Bo";"Protestants-Christelijk";"42656";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
