"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0867";"Waalwijk";"4265";"Altena";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5087";"Hilvarenbeek";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5101";"Dongen";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5141";"Waalwijk";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5142";"Waalwijk";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"<5";"<5";"<5";"<5";"5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5143";"Waalwijk";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5144";"Waalwijk";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5145";"Waalwijk";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5146";"Waalwijk";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0867";"Waalwijk";"5151";"Heusden";"00KZ";"00";"SBO Het Zilverlicht";"5143GH";"WAALWIJK";"Noord-Brabant";"Sbo";"Rooms-Katholiek";"71008";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
