"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0627";"Waddinxveen";"2741";"Waddinxveen";"03ZF";"00";"Kleurrijk";"2741XL";"WADDINXVEEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"8";"8";"<5";"6";"7";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2742";"Waddinxveen";"03ZF";"00";"Kleurrijk";"2741XL";"WADDINXVEEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"<5";"<5";"6";"7";"7";"<5";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2743";"Waddinxveen";"03ZF";"00";"Kleurrijk";"2741XL";"WADDINXVEEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"<5";"<5";"<5";"<5";"0";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2771";"Alphen aan den Rijn";"03ZF";"00";"Kleurrijk";"2741XL";"WADDINXVEEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2806";"Gouda";"03ZF";"00";"Kleurrijk";"2741XL";"WADDINXVEEN";"Zuid-Holland";"Bo";"Gereformeerd vrijgemaakt";"41646";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2391";"Alphen aan den Rijn";"06DN";"00";"Ned Herv Basissch Bethel";"2742TP";"WADDINXVEEN";"Zuid-Holland";"Bo";"Reformatorisch";"20243";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2741";"Waddinxveen";"06DN";"00";"Ned Herv Basissch Bethel";"2742TP";"WADDINXVEEN";"Zuid-Holland";"Bo";"Reformatorisch";"20243";"0";"7";"17";"12";"16";"12";"15";"10";"15";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2742";"Waddinxveen";"06DN";"00";"Ned Herv Basissch Bethel";"2742TP";"WADDINXVEEN";"Zuid-Holland";"Bo";"Reformatorisch";"20243";"0";"15";"21";"20";"16";"18";"22";"19";"21";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2743";"Waddinxveen";"06DN";"00";"Ned Herv Basissch Bethel";"2742TP";"WADDINXVEEN";"Zuid-Holland";"Bo";"Reformatorisch";"20243";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0627";"Waddinxveen";"2771";"Alphen aan den Rijn";"06DN";"00";"Ned Herv Basissch Bethel";"2742TP";"WADDINXVEEN";"Zuid-Holland";"Bo";"Reformatorisch";"20243";"0";"<5";"<5";"<5";"5";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
