"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0629";"Wassenaar";"2181";"Hillegom";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2241";"Wassenaar";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"19";"24";"27";"22";"26";"21";"11";"19";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2242";"Wassenaar";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2243";"Wassenaar";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2245";"Wassenaar";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2253";"Voorschoten";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2342";"Oegstgeest";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2554";"'s-Gravenhage";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2591";"'s-Gravenhage";"03YS";"00";"Basissch St Jan Baptist";"2241XH";"WASSENAAR";"Zuid-Holland";"Bo";"Rooms-Katholiek";"68329";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2171";"Teylingen";"04RT";"00";"Ver Nutssch Wassenaar";"2242CA";"WASSENAAR";"Zuid-Holland";"Bo";"Algemeen bijzonder";"39859";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2241";"Wassenaar";"04RT";"00";"Ver Nutssch Wassenaar";"2242CA";"WASSENAAR";"Zuid-Holland";"Bo";"Algemeen bijzonder";"39859";"0";"13";"16";"14";"9";"13";"13";"11";"9";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2242";"Wassenaar";"04RT";"00";"Ver Nutssch Wassenaar";"2242CA";"WASSENAAR";"Zuid-Holland";"Bo";"Algemeen bijzonder";"39859";"0";"14";"16";"14";"15";"17";"17";"14";"12";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0629";"Wassenaar";"2243";"Wassenaar";"04RT";"00";"Ver Nutssch Wassenaar";"2242CA";"WASSENAAR";"Zuid-Holland";"Bo";"Algemeen bijzonder";"39859";"0";"<5";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
