"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0852";"Waterland";"1035";"Amsterdam";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1141";"Waterland";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"0";"0";"<5";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1441";"Purmerend";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"<5";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1447";"Purmerend";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1452";"Waterland";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"11";"<5";"<5";"<5";"9";"<5";"5";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1454";"Waterland";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1462";"Purmerend";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1482";"Waterland";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1511";"Oostzaan";"06ZX";"00";"Rk Bs St Sebastianus";"1452XH";"ILPENDAM";"Noord-Holland";"Bo";"Rooms-Katholiek";"41012";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0852";"Waterland";"1131";"Edam-Volendam";"07LO";"00";"De Rietlanden";"1156AP";"MARKEN";"Noord-Holland";"Bo";"Protestants-Christelijk";"41012";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
