"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1969";"Westerkwartier";"9761";"Tynaarlo";"03DF";"00";"OBS Kromme Akkers";"9893PD";"GARNWERD";"Groningen";"Bo";"Openbaar";"41261";"0";"<5";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9773";"Het Hogeland";"03DF";"00";"OBS Kromme Akkers";"9893PD";"GARNWERD";"Groningen";"Bo";"Openbaar";"41261";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9891";"Westerkwartier";"03DF";"00";"OBS Kromme Akkers";"9893PD";"GARNWERD";"Groningen";"Bo";"Openbaar";"41261";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9892";"Westerkwartier";"03DF";"00";"OBS Kromme Akkers";"9893PD";"GARNWERD";"Groningen";"Bo";"Openbaar";"41261";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9893";"Westerkwartier";"03DF";"00";"OBS Kromme Akkers";"9893PD";"GARNWERD";"Groningen";"Bo";"Openbaar";"41261";"0";"6";"6";"<5";"<5";"<5";"<5";"5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9951";"Het Hogeland";"03DF";"00";"OBS Kromme Akkers";"9893PD";"GARNWERD";"Groningen";"Bo";"Openbaar";"41261";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9741";"Groningen";"03FT";"00";"Openbare Basisschool De Borgh";"9801AM";"ZUIDHORN";"Groningen";"Bo";"Openbaar";"41571";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9801";"Westerkwartier";"03FT";"00";"Openbare Basisschool De Borgh";"9801AM";"ZUIDHORN";"Groningen";"Bo";"Openbaar";"41571";"0";"30";"30";"29";"39";"38";"27";"36";"31";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9804";"Westerkwartier";"03FT";"00";"Openbare Basisschool De Borgh";"9801AM";"ZUIDHORN";"Groningen";"Bo";"Openbaar";"41571";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1969";"Westerkwartier";"9805";"Westerkwartier";"03FT";"00";"Openbare Basisschool De Borgh";"9801AM";"ZUIDHORN";"Groningen";"Bo";"Openbaar";"41571";"0";"0";"0";"<5";"<5";"0";"0";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
