"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1701";"Westerveld";"7963";"De Wolden";"05NN";"00";"CBS De Fontein";"7991CL";"DWINGELOO";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"7964";"De Wolden";"05NN";"00";"CBS De Fontein";"7991CL";"DWINGELOO";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"7971";"Westerveld";"05NN";"00";"CBS De Fontein";"7991CL";"DWINGELOO";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"7991";"Westerveld";"05NN";"00";"CBS De Fontein";"7991CL";"DWINGELOO";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"8";"8";"<5";"5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"8331";"Steenwijkerland";"05RN";"00";"PC Basisschool Nijensleek";"8383EK";"NIJENSLEEK";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"8332";"Steenwijkerland";"05RN";"00";"PC Basisschool Nijensleek";"8383EK";"NIJENSLEEK";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"8333";"Steenwijkerland";"05RN";"00";"PC Basisschool Nijensleek";"8383EK";"NIJENSLEEK";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"8334";"Steenwijkerland";"05RN";"00";"PC Basisschool Nijensleek";"8383EK";"NIJENSLEEK";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"8336";"Steenwijkerland";"05RN";"00";"PC Basisschool Nijensleek";"8383EK";"NIJENSLEEK";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1701";"Westerveld";"8338";"Steenwijkerland";"05RN";"00";"PC Basisschool Nijensleek";"8383EK";"NIJENSLEEK";"Drenthe";"Bo";"Protestants-Christelijk";"41196";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
