"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0293";"Westervoort";"6825";"Arnhem";"05ZZ";"00";"IKC het Ravelijn";"6932CA";"WESTERVOORT";"Gelderland";"Bo";"Openbaar";"77235";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"6882";"Rheden";"05ZZ";"00";"IKC het Ravelijn";"6932CA";"WESTERVOORT";"Gelderland";"Bo";"Openbaar";"77235";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"6931";"Westervoort";"05ZZ";"00";"IKC het Ravelijn";"6932CA";"WESTERVOORT";"Gelderland";"Bo";"Openbaar";"77235";"0";"6";"10";"8";"7";"<5";"8";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"6932";"Westervoort";"05ZZ";"00";"IKC het Ravelijn";"6932CA";"WESTERVOORT";"Gelderland";"Bo";"Openbaar";"77235";"0";"14";"14";"5";"9";"9";"5";"12";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"8607";"Súdwest-Fryslân";"05ZZ";"00";"IKC het Ravelijn";"6932CA";"WESTERVOORT";"Gelderland";"Bo";"Openbaar";"77235";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"6823";"Arnhem";"07NF";"00";"Sport IKC Het Startblok";"6931CH";"WESTERVOORT";"Gelderland";"Bo";"Protestants-Christelijk";"42148";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"6825";"Arnhem";"07NF";"00";"Sport IKC Het Startblok";"6931CH";"WESTERVOORT";"Gelderland";"Bo";"Protestants-Christelijk";"42148";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"6826";"Arnhem";"07NF";"00";"Sport IKC Het Startblok";"6931CH";"WESTERVOORT";"Gelderland";"Bo";"Protestants-Christelijk";"42148";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"6836";"Arnhem";"07NF";"00";"Sport IKC Het Startblok";"6931CH";"WESTERVOORT";"Gelderland";"Bo";"Protestants-Christelijk";"42148";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0293";"Westervoort";"6921";"Duiven";"07NF";"00";"Sport IKC Het Startblok";"6931CH";"WESTERVOORT";"Gelderland";"Bo";"Protestants-Christelijk";"42148";"0";"0";"0";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
