"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1950";"Westerwolde";"40";"Onbekend";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"7831";"Emmen";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"7881";"Emmen";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9561";"Westerwolde";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"7";"11";"15";"10";"9";"16";"19";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9563";"Westerwolde";"00FI";"00";"Samenw Basisschool Pork";"9561CB";"TER APEL";"Groningen";"Bo";"Algemeen bijzonder";"45000";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"20";"Duitsland";"03SL";"00";"RK Basissch Bonifatius";"9561GA";"TER APEL";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"40";"Onbekend";"03SL";"00";"RK Basissch Bonifatius";"9561GA";"TER APEL";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"7831";"Emmen";"03SL";"00";"RK Basissch Bonifatius";"9561GA";"TER APEL";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9551";"Westerwolde";"03SL";"00";"RK Basissch Bonifatius";"9561GA";"TER APEL";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9561";"Westerwolde";"03SL";"00";"RK Basissch Bonifatius";"9561GA";"TER APEL";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"13";"11";"18";"14";"11";"13";"14";"9";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9563";"Westerwolde";"03SL";"00";"RK Basissch Bonifatius";"9561GA";"TER APEL";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9581";"Stadskanaal";"03SL";"00";"RK Basissch Bonifatius";"9561GA";"TER APEL";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9661";"Stadskanaal";"03SL";"00";"RK Basissch Bonifatius";"9561GA";"TER APEL";"Groningen";"Bo";"Rooms-Katholiek";"45000";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"20";"Duitsland";"05MH";"00";"Chr Bs De Wegwijzer";"9695AP";"BELLINGWOLDE";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"40";"Onbekend";"05MH";"00";"Chr Bs De Wegwijzer";"9695AP";"BELLINGWOLDE";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9566";"Westerwolde";"05MH";"00";"Chr Bs De Wegwijzer";"9695AP";"BELLINGWOLDE";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9693";"Oldambt";"05MH";"00";"Chr Bs De Wegwijzer";"9695AP";"BELLINGWOLDE";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9695";"Westerwolde";"05MH";"00";"Chr Bs De Wegwijzer";"9695AP";"BELLINGWOLDE";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"<5";"8";"7";"6";"<5";"5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9699";"Westerwolde";"05MH";"00";"Chr Bs De Wegwijzer";"9695AP";"BELLINGWOLDE";"Groningen";"Bo";"Protestants-Christelijk";"41845";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"20";"Duitsland";"05TE";"00";"CBS Het Gebint";"9551BM";"SELLINGEN";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"40";"Onbekend";"05TE";"00";"CBS Het Gebint";"9551BM";"SELLINGEN";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9551";"Westerwolde";"05TE";"00";"CBS Het Gebint";"9551BM";"SELLINGEN";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"5";"8";"<5";"<5";"7";"<5";"7";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9561";"Westerwolde";"05TE";"00";"CBS Het Gebint";"9551BM";"SELLINGEN";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9566";"Westerwolde";"05TE";"00";"CBS Het Gebint";"9551BM";"SELLINGEN";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"20";"Duitsland";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"7876";"Borger-Odoorn";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9541";"Westerwolde";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"18";"17";"11";"15";"15";"21";"22";"13";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9545";"Westerwolde";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9551";"Westerwolde";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9566";"Westerwolde";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"<5";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9591";"Stadskanaal";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"<5";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9661";"Stadskanaal";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9665";"Pekela";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9681";"Oldambt";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9698";"Westerwolde";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1950";"Westerwolde";"9699";"Westerwolde";"05XF";"00";"CBS De Zaaier";"9541AX";"VLAGTWEDDE";"Groningen";"Bo";"Protestants-Christelijk";"41358";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
