"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1783";"Westland";"2273";"Leidschendam-Voorburg";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2291";"Westland";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2291";"Westland";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2292";"Westland";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2295";"Westland";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2295";"Westland";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2512";"'s-Gravenhage";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2544";"'s-Gravenhage";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2545";"'s-Gravenhage";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2548";"'s-Gravenhage";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2548";"'s-Gravenhage";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2551";"'s-Gravenhage";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"Vso";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1783";"Westland";"2552";"'s-Gravenhage";"00PZ";"01";"Herman Broerenschool";"2671HS";"NAALDWIJK";"Zuid-Holland";"So";"Algemeen bijzonder";"38209";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
