"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0098";"Weststellingwerf";"7983";"Westerveld";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8316";"Noordoostpolder";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8331";"Steenwijkerland";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8332";"Steenwijkerland";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8388";"Weststellingwerf";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"<5";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8389";"Weststellingwerf";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8391";"Weststellingwerf";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"7";"<5";"7";"8";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8392";"Weststellingwerf";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8437";"Westerveld";"00CV";"00";"School Matthijsje";"8388NA";"OOSTERSTREEK";"Friesland";"Bo";"Algemeen bijzonder";"20210";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8471";"Weststellingwerf";"03XC";"00";"PC Basissch De Wegwijzer";"8471VM";"WOLVEGA";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"<5";"7";"11";"5";"10";"9";"11";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8472";"Weststellingwerf";"03XC";"00";"PC Basissch De Wegwijzer";"8471VM";"WOLVEGA";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8478";"Weststellingwerf";"03XC";"00";"PC Basissch De Wegwijzer";"8471VM";"WOLVEGA";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8479";"Weststellingwerf";"03XC";"00";"PC Basissch De Wegwijzer";"8471VM";"WOLVEGA";"Friesland";"Bo";"Protestants-Christelijk";"41282";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8338";"Steenwijkerland";"05KA";"00";"St Franciscus-School";"8471JX";"WOLVEGA";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8342";"Steenwijkerland";"05KA";"00";"St Franciscus-School";"8471JX";"WOLVEGA";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0098";"Weststellingwerf";"8371";"Steenwijkerland";"05KA";"00";"St Franciscus-School";"8471JX";"WOLVEGA";"Friesland";"Bo";"Rooms-Katholiek";"41000";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
