"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0189";"Wierden";"7447";"Hellendoorn";"04UR";"00";"De Driesprong";"7645AV";"HOGE HEXEL";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7641";"Wierden";"04UR";"00";"De Driesprong";"7645AV";"HOGE HEXEL";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7645";"Wierden";"04UR";"00";"De Driesprong";"7645AV";"HOGE HEXEL";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"8";"<5";"5";"6";"<5";"11";"7";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7671";"Twenterand";"04UR";"00";"De Driesprong";"7645AV";"HOGE HEXEL";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"0";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7688";"Hellendoorn";"04UR";"00";"De Driesprong";"7645AV";"HOGE HEXEL";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"0";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7461";"Rijssen-Holten";"05VC";"00";"Akkerwal";"7468RE";"ENTER";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"<5";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7462";"Rijssen-Holten";"05VC";"00";"Akkerwal";"7468RE";"ENTER";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7463";"Rijssen-Holten";"05VC";"00";"Akkerwal";"7468RE";"ENTER";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7468";"Wierden";"05VC";"00";"Akkerwal";"7468RE";"ENTER";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0189";"Wierden";"7471";"Hof van Twente";"05VC";"00";"Akkerwal";"7468RE";"ENTER";"Overijssel";"Bo";"Protestants-Christelijk";"92951";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
