"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1696";"Wijdemeren";"1221";"Hilversum";"03SJ";"00";"Jozefschool";"1394GM";"NEDERHORST DEN BERG";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"1381";"Amsterdam";"03SJ";"00";"Jozefschool";"1394GM";"NEDERHORST DEN BERG";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"1383";"Amsterdam";"03SJ";"00";"Jozefschool";"1394GM";"NEDERHORST DEN BERG";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"1393";"Stichtse Vecht";"03SJ";"00";"Jozefschool";"1394GM";"NEDERHORST DEN BERG";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"1394";"Wijdemeren";"03SJ";"00";"Jozefschool";"1394GM";"NEDERHORST DEN BERG";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"29";"31";"47";"31";"29";"27";"24";"19";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"3633";"Stichtse Vecht";"03SJ";"00";"Jozefschool";"1394GM";"NEDERHORST DEN BERG";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"<5";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"1211";"Hilversum";"03WH";"00";"St. Antoniusschool";"1241HC";"KORTENHOEF";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"1215";"Hilversum";"03WH";"00";"St. Antoniusschool";"1241HC";"KORTENHOEF";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"1216";"Hilversum";"03WH";"00";"St. Antoniusschool";"1241HC";"KORTENHOEF";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1696";"Wijdemeren";"1221";"Hilversum";"03WH";"00";"St. Antoniusschool";"1241HC";"KORTENHOEF";"Noord-Holland";"Bo";"Rooms-Katholiek";"40676";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
