"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0352";"Wijk bij Duurstede";"3945";"Wijk bij Duurstede";"04HS";"00";"OBS De Toermalijn";"3945GH";"COTHEN";"Utrecht";"Bo";"Openbaar";"42567";"0";"16";"13";"13";"23";"14";"23";"22";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3947";"Wijk bij Duurstede";"04HS";"00";"OBS De Toermalijn";"3945GH";"COTHEN";"Utrecht";"Bo";"Openbaar";"42567";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3961";"Wijk bij Duurstede";"04HS";"00";"OBS De Toermalijn";"3945GH";"COTHEN";"Utrecht";"Bo";"Openbaar";"42567";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3962";"Wijk bij Duurstede";"04HS";"00";"OBS De Toermalijn";"3945GH";"COTHEN";"Utrecht";"Bo";"Openbaar";"42567";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3985";"Bunnik";"04HS";"00";"OBS De Toermalijn";"3945GH";"COTHEN";"Utrecht";"Bo";"Openbaar";"42567";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3945";"Wijk bij Duurstede";"04ZS";"00";"KBS Carolus";"3945BN";"COTHEN";"Utrecht";"Bo";"Rooms-Katholiek";"41148";"0";"8";"14";"12";"9";"14";"8";"16";"16";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3947";"Wijk bij Duurstede";"04ZS";"00";"KBS Carolus";"3945BN";"COTHEN";"Utrecht";"Bo";"Rooms-Katholiek";"41148";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3962";"Wijk bij Duurstede";"04ZS";"00";"KBS Carolus";"3945BN";"COTHEN";"Utrecht";"Bo";"Rooms-Katholiek";"41148";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3945";"Wijk bij Duurstede";"07CL";"00";"Basisschool Windroos";"3962AD";"WIJK BIJ DUURSTEDE";"Utrecht";"Bo";"Algemeen bijzonder";"69447";"0";"<5";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0352";"Wijk bij Duurstede";"3947";"Wijk bij Duurstede";"07CL";"00";"Basisschool Windroos";"3962AD";"WIJK BIJ DUURSTEDE";"Utrecht";"Bo";"Algemeen bijzonder";"69447";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
