"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0294";"Winterswijk";"40";"Onbekend";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7101";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"7";"7";"<5";"7";"<5";"8";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7102";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"0";"<5";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7103";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"<5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7104";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7105";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7106";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7107";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"<5";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7108";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0294";"Winterswijk";"7109";"Winterswijk";"04FT";"00";"Vrije Basissch De Esch";"7101JH";"WINTERSWIJK";"Gelderland";"Bo";"Antroposofisch";"77456";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
