"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0873";"Woensdrecht";"4615";"Bergen op Zoom";"03GP";"00";"Christelijke Basisschool Delph";"4631NM";"HOOGERHEIDE";"Noord-Brabant";"Bo";"Protestants-Christelijk";"40517";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"4631";"Woensdrecht";"03GP";"00";"Christelijke Basisschool Delph";"4631NM";"HOOGERHEIDE";"Noord-Brabant";"Bo";"Protestants-Christelijk";"40517";"0";"<5";"<5";"0";"<5";"<5";"7";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"4641";"Woensdrecht";"03GP";"00";"Christelijke Basisschool Delph";"4631NM";"HOOGERHEIDE";"Noord-Brabant";"Bo";"Protestants-Christelijk";"40517";"0";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"3607";"Stichtse Vecht";"03MO";"00";"RK Bs Sint Marie";"4635CX";"HUIJBERGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"4631";"Woensdrecht";"03MO";"00";"RK Bs Sint Marie";"4635CX";"HUIJBERGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"4635";"Woensdrecht";"03MO";"00";"RK Bs Sint Marie";"4635CX";"HUIJBERGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"14";"10";"12";"15";"17";"11";"9";"17";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"4641";"Woensdrecht";"03MO";"00";"RK Bs Sint Marie";"4635CX";"HUIJBERGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"4661";"Bergen op Zoom";"03MO";"00";"RK Bs Sint Marie";"4635CX";"HUIJBERGEN";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"10";"Belgie";"03QW";"00";"RK BS Op Dreef";"4645EV";"PUTTE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"<5";"<5";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0873";"Woensdrecht";"40";"Onbekend";"03QW";"00";"RK BS Op Dreef";"4645EV";"PUTTE";"Noord-Brabant";"Bo";"Rooms-Katholiek";"40517";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
