"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0632";"Woerden";"1422";"Uithoorn";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"1426";"De Ronde Venen";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"2411";"Bodegraven-Reeuwijk";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"0";"0";"0";"<5";"0";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"2415";"Bodegraven-Reeuwijk";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"<5";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"2421";"Nieuwkoop";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"2471";"Alphen aan den Rijn";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"2624";"Delft";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"3417";"Montfoort";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"<5";"0";"0";"<5";"0";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"3421";"Oudewater";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"<5";"0";"<5";"<5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0632";"Woerden";"3441";"Woerden";"01KJ";"00";"De Keerkring";"3443EJ";"WOERDEN";"Utrecht";"Sbo";"Algemeen bijzonder";"70002";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
