"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0880";"Wormerland";"1441";"Purmerend";"04IA";"00";"Basisschool Wijdewormer";"1456CB";"WIJDEWORMER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1443";"Purmerend";"04IA";"00";"Basisschool Wijdewormer";"1456CB";"WIJDEWORMER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1444";"Purmerend";"04IA";"00";"Basisschool Wijdewormer";"1456CB";"WIJDEWORMER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1448";"Purmerend";"04IA";"00";"Basisschool Wijdewormer";"1456CB";"WIJDEWORMER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1456";"Wormerland";"04IA";"00";"Basisschool Wijdewormer";"1456CB";"WIJDEWORMER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"16";"19";"20";"20";"10";"15";"9";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1458";"Wormerland";"04IA";"00";"Basisschool Wijdewormer";"1456CB";"WIJDEWORMER";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1458";"Wormerland";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1483";"Alkmaar";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1505";"Zaanstad";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1509";"Zaanstad";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1521";"Zaanstad";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"11";"5";"8";"<5";"7";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1531";"Wormerland";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"32";"33";"27";"41";"23";"22";"23";"15";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1534";"Wormerland";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"<5";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1541";"Zaanstad";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1546";"Wormerland";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1561";"Zaanstad";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1566";"Zaanstad";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1567";"Zaanstad";"16YE";"00";"icbs. Wormer Wieken";"1531PS";"WORMER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1456";"Wormerland";"18EP";"00";"De Harpoen";"1546LB";"JISP";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1521";"Zaanstad";"18EP";"00";"De Harpoen";"1546LB";"JISP";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1525";"Zaanstad";"18EP";"00";"De Harpoen";"1546LB";"JISP";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0880";"Wormerland";"1531";"Wormerland";"18EP";"00";"De Harpoen";"1546LB";"JISP";"Noord-Holland";"Bo";"Openbaar";"41434";"0";"6";"8";"<5";"6";"6";"10";"9";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
