"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0351";"Woudenberg";"3931";"Woudenberg";"10AH";"00";"Jan Ligthartschool";"3931LJ";"WOUDENBERG";"Utrecht";"Bo";"Openbaar";"41481";"0";"34";"30";"35";"26";"30";"22";"25";"26";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3956";"Utrechtse Heuvelrug";"10AH";"00";"Jan Ligthartschool";"3931LJ";"WOUDENBERG";"Utrecht";"Bo";"Openbaar";"41481";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3925";"Scherpenzeel";"10RI";"00";"Koningin Julianaschool";"3931PT";"WOUDENBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41337";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3931";"Woudenberg";"10RI";"00";"Koningin Julianaschool";"3931PT";"WOUDENBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41337";"0";"29";"30";"29";"41";"31";"41";"31";"23";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3953";"Utrechtse Heuvelrug";"10RI";"00";"Koningin Julianaschool";"3931PT";"WOUDENBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41337";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3972";"Utrechtse Heuvelrug";"10RI";"00";"Koningin Julianaschool";"3931PT";"WOUDENBERG";"Utrecht";"Bo";"Protestants-Christelijk";"41337";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3925";"Scherpenzeel";"10SO";"00";"Griftschool";"3931AB";"WOUDENBERG";"Utrecht";"Bo";"Openbaar";"41481";"0";"0";"0";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3927";"Renswoude";"10SO";"00";"Griftschool";"3931AB";"WOUDENBERG";"Utrecht";"Bo";"Openbaar";"41481";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3931";"Woudenberg";"10SO";"00";"Griftschool";"3931AB";"WOUDENBERG";"Utrecht";"Bo";"Openbaar";"41481";"0";"11";"20";"25";"23";"20";"20";"24";"12";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0351";"Woudenberg";"3953";"Utrechtse Heuvelrug";"10SO";"00";"Griftschool";"3931AB";"WOUDENBERG";"Utrecht";"Bo";"Openbaar";"41481";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
