"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0479";"Zaanstad";"1035";"Amsterdam";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1501";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1502";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"<5";"<5";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1503";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1504";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1505";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"<5";"<5";"0";"0";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1506";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1507";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"<5";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1508";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1509";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1511";"Oostzaan";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1521";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1531";"Wormerland";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1541";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"<5";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1544";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1551";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1561";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1562";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1566";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1567";"Zaanstad";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"40";"Onbekend";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"5224";"'s-Hertogenbosch";"00UN";"00";"Tijstroom";"1503TS";"ZAANDAM";"Noord-Holland";"Sbo";"Interconfessioneel";"41251";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1094";"Amsterdam";"03TL";"00";"Basisschool Toermalijn";"1521PB";"WORMERVEER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0479";"Zaanstad";"1443";"Purmerend";"03TL";"00";"Basisschool Toermalijn";"1521PB";"WORMERVEER";"Noord-Holland";"Bo";"Samenwerking PC, RK";"41251";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
