"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0297";"Zaltbommel";"4285";"Altena";"03HC";"00";"Christelijke Basisschool";"5313AP";"NIEUWAAL";"Gelderland";"Bo";"Protestants-Christelijk";"76715";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5305";"Zaltbommel";"03HC";"00";"Christelijke Basisschool";"5313AP";"NIEUWAAL";"Gelderland";"Bo";"Protestants-Christelijk";"76715";"0";"0";"<5";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5311";"Zaltbommel";"03HC";"00";"Christelijke Basisschool";"5313AP";"NIEUWAAL";"Gelderland";"Bo";"Protestants-Christelijk";"76715";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5313";"Zaltbommel";"03HC";"00";"Christelijke Basisschool";"5313AP";"NIEUWAAL";"Gelderland";"Bo";"Protestants-Christelijk";"76715";"0";"9";"10";"7";"7";"7";"10";"6";"7";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"4005";"Tiel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"4184";"West Betuwe";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5301";"Zaltbommel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"38";"44";"29";"35";"29";"37";"31";"26";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5302";"Zaltbommel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"16";"21";"12";"12";"10";"13";"10";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5306";"Zaltbommel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5311";"Zaltbommel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"0";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5314";"Zaltbommel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5315";"Zaltbommel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5317";"Zaltbommel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5327";"Maasdriel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5331";"Maasdriel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5334";"Maasdriel";"03VR";"00";"Franciscus-School";"5301TP";"ZALTBOMMEL";"Gelderland";"Bo";"Rooms-Katholiek";"41090";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5301";"Zaltbommel";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5302";"Zaltbommel";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5311";"Zaltbommel";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5314";"Zaltbommel";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5315";"Zaltbommel";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"5";"<5";"<5";"<5";"6";"<5";"5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5316";"Zaltbommel";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"6";"<5";"<5";"<5";"6";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5317";"Zaltbommel";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0297";"Zaltbommel";"5321";"Maasdriel";"04PZ";"00";"PCB De Rank";"5315AB";"KERKWIJK";"Gelderland";"Bo";"Protestants-Christelijk";"42658";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
