"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0473";"Zandvoort";"2015";"Haarlem";"08TO";"00";"Hannie Schaft Basissch";"2042LZ";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"2041";"Zandvoort";"08TO";"00";"Hannie Schaft Basissch";"2042LZ";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"15";"14";"16";"19";"10";"23";"15";"11";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"2042";"Zandvoort";"08TO";"00";"Hannie Schaft Basissch";"2042LZ";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"9";"10";"10";"10";"9";"7";"18";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"1943";"Beverwijk";"09RU";"00";"Basisschool De Zeevonk";"2041BM";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"2025";"Haarlem";"09RU";"00";"Basisschool De Zeevonk";"2041BM";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"2037";"Haarlem";"09RU";"00";"Basisschool De Zeevonk";"2041BM";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"2041";"Zandvoort";"09RU";"00";"Basisschool De Zeevonk";"2041BM";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"18";"21";"27";"28";"25";"33";"18";"23";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"2042";"Zandvoort";"09RU";"00";"Basisschool De Zeevonk";"2041BM";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"2114";"Bloemendaal";"09RU";"00";"Basisschool De Zeevonk";"2041BM";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0473";"Zandvoort";"40";"Onbekend";"09RU";"00";"Basisschool De Zeevonk";"2041BM";"ZANDVOORT";"Noord-Holland";"Bo";"Openbaar";"40775";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
