"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0050";"Zeewolde";"3892";"Zeewolde";"01AJ";"03";"Dr A Verschoor School";"3892BP";"ZEEWOLDE";"Flevoland";"So";"Algemeen bijzonder";"62129";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"3893";"Zeewolde";"01AJ";"03";"Dr A Verschoor School";"3892BP";"ZEEWOLDE";"Flevoland";"So";"Algemeen bijzonder";"62129";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"3894";"Zeewolde";"01AJ";"03";"Dr A Verschoor School";"3892BP";"ZEEWOLDE";"Flevoland";"So";"Algemeen bijzonder";"62129";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"3891";"Zeewolde";"06DE";"00";"Basisschool 'T Wold";"3891CB";"ZEEWOLDE";"Flevoland";"Bo";"Openbaar";"41813";"0";"12";"9";"10";"8";"6";"11";"15";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"3892";"Zeewolde";"06DE";"00";"Basisschool 'T Wold";"3891CB";"ZEEWOLDE";"Flevoland";"Bo";"Openbaar";"41813";"0";"10";"<5";"5";"<5";"<5";"<5";"<5";"6";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"3893";"Zeewolde";"06DE";"00";"Basisschool 'T Wold";"3891CB";"ZEEWOLDE";"Flevoland";"Bo";"Openbaar";"41813";"0";"<5";"<5";"<5";"<5";"5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"3894";"Zeewolde";"06DE";"00";"Basisschool 'T Wold";"3891CB";"ZEEWOLDE";"Flevoland";"Bo";"Openbaar";"41813";"0";"<5";"<5";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"3897";"Zeewolde";"06DE";"00";"Basisschool 'T Wold";"3891CB";"ZEEWOLDE";"Flevoland";"Bo";"Openbaar";"41813";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"1271";"Huizen";"07EQ";"00";"Basisschool De Regenboog";"3891CN";"ZEEWOLDE";"Flevoland";"Bo";"Protestants-Christelijk";"42600";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0050";"Zeewolde";"1272";"Huizen";"07EQ";"00";"Basisschool De Regenboog";"3891CN";"ZEEWOLDE";"Flevoland";"Bo";"Protestants-Christelijk";"42600";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
