"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0355";"Zeist";"1121";"Landsmeer";"01KI";"02";"De Heuvelrug (De Lindenhorst)";"3707CC";"ZEIST";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"1339";"Almere";"01KI";"02";"De Heuvelrug (De Lindenhorst)";"3707CC";"ZEIST";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"1678";"Medemblik";"01KI";"02";"De Heuvelrug (De Lindenhorst)";"3707CC";"ZEIST";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"1741";"Schagen";"01KI";"02";"De Heuvelrug (De Lindenhorst)";"3707CC";"ZEIST";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"3953";"Utrechtse Heuvelrug";"01KI";"02";"De Heuvelrug (De Lindenhorst)";"3707CC";"ZEIST";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"6811";"Arnhem";"01KI";"02";"De Heuvelrug (De Lindenhorst)";"3707CC";"ZEIST";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"7135";"Oost Gelre";"01KI";"02";"De Heuvelrug (De Lindenhorst)";"3707CC";"ZEIST";"Utrecht";"Vso";"Algemeen bijzonder";"40132";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"3701";"Zeist";"03KW";"00";"Basisschool Comenius";"3703CG";"ZEIST";"Utrecht";"Bo";"Protestants-Christelijk";"29577";"0";"<5";"6";"<5";"<5";"6";"<5";"5";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"3702";"Zeist";"03KW";"00";"Basisschool Comenius";"3703CG";"ZEIST";"Utrecht";"Bo";"Protestants-Christelijk";"29577";"0";"<5";"6";"<5";"<5";"5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0355";"Zeist";"3703";"Zeist";"03KW";"00";"Basisschool Comenius";"3703CG";"ZEIST";"Utrecht";"Bo";"Protestants-Christelijk";"29577";"0";"23";"23";"28";"18";"20";"29";"20";"18";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
