"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0638";"Zoeterwoude";"2313";"Leiden";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2314";"Leiden";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2315";"Leiden";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"<5";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2317";"Leiden";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2321";"Leiden";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2331";"Leiden";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2351";"Leiderdorp";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"0";"<5";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2353";"Leiderdorp";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2374";"Kaag en Braassem";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0638";"Zoeterwoude";"2381";"Zoeterwoude";"07NB";"00";"St Bernardusschool";"2382EA";"ZOETERWOUDE";"Zuid-Holland";"Bo";"Rooms-Katholiek";"57266";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
