"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1892";"Zuidplas";"2761";"Zuidplas";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"0";"0";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2802";"Gouda";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2806";"Gouda";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2807";"Gouda";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2841";"Zuidplas";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"<5";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2904";"Capelle aan den IJssel";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2905";"Capelle aan den IJssel";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"<5";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2907";"Capelle aan den IJssel";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"<5";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2908";"Capelle aan den IJssel";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"0";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1892";"Zuidplas";"2911";"Zuidplas";"01VR";"00";"Montessorischool";"2912CR";"NIEUWERKERK AD IJSSEL";"Zuid-Holland";"Bo";"Algemeen bijzonder";"41226";"0";"<5";"8";"7";"<5";"6";"6";"6";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
