"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0879";"Zundert";"4881";"Zundert";"03NO";"00";"RK Basissch De Wegwijzer";"4885AH";"ACHTMAAL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78066";"0";"<5";"0";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4884";"Zundert";"03NO";"00";"RK Basissch De Wegwijzer";"4885AH";"ACHTMAAL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78066";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4885";"Zundert";"03NO";"00";"RK Basissch De Wegwijzer";"4885AH";"ACHTMAAL";"Noord-Brabant";"Bo";"Rooms-Katholiek";"78066";"0";"11";"13";"8";"17";"16";"16";"12";"12";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"2497";"'s-Gravenhage";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4251";"Altena";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4706";"Roosendaal";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4707";"Roosendaal";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4711";"Rucphen";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4741";"Halderberge";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4761";"Moerdijk";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4811";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"<5";"<5";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4812";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"<5";"0";"<5";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4813";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4814";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4815";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4816";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4817";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4819";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4822";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4823";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4824";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0879";"Zundert";"4826";"Breda";"07WD";"00";"De Koperakker";"4891SN";"RIJSBERGEN";"Noord-Brabant";"So";"Algemeen bijzonder";"41200";"0";"0";"<5";"0";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
