"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0301";"Zutphen";"6961";"Brummen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"6971";"Brummen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"6974";"Brummen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"7201";"Zutphen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"<5";"0";"<5";"0";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"7202";"Zutphen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"7203";"Zutphen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"7";"8";"10";"12";"<5";"12";"11";"16";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"7204";"Zutphen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"<5";"6";"<5";"5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"7205";"Zutphen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"7206";"Zutphen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"<5";"0";"<5";"0";"<5";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0301";"Zutphen";"7207";"Zutphen";"03JS";"00";"Vrije school De Zonnewende";"7203GC";"ZUTPHEN";"Gelderland";"Bo";"Antroposofisch";"28212";"0";"<5";"<5";"<5";"<5";"5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
