"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"1896";"Zwartewaterland";"8061";"Zwartewaterland";"03FU";"00";"Arembergschool";"8064CD";"ZWARTSLUIS";"Overijssel";"Bo";"Openbaar";"41816";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"8064";"Zwartewaterland";"03FU";"00";"Arembergschool";"8064CD";"ZWARTSLUIS";"Overijssel";"Bo";"Openbaar";"41816";"0";"14";"10";"8";"20";"12";"9";"16";"16";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"8061";"Zwartewaterland";"03HP";"00";"Rehoboth";"8281ZC";"GENEMUIDEN";"Overijssel";"Bo";"Reformatorisch";"24195";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"8271";"Kampen";"03HP";"00";"Rehoboth";"8281ZC";"GENEMUIDEN";"Overijssel";"Bo";"Reformatorisch";"24195";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"8281";"Zwartewaterland";"03HP";"00";"Rehoboth";"8281ZC";"GENEMUIDEN";"Overijssel";"Bo";"Reformatorisch";"24195";"0";"27";"26";"30";"22";"17";"22";"31";"26";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"7954";"Staphorst";"03RD";"00";"De Hoeksteen";"8061AJ";"HASSELT";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"7957";"De Wolden";"03RD";"00";"De Hoeksteen";"8061AJ";"HASSELT";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"8061";"Zwartewaterland";"03RD";"00";"De Hoeksteen";"8061AJ";"HASSELT";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"16";"8";"17";"12";"11";"10";"13";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"8294";"Zwartewaterland";"03RD";"00";"De Hoeksteen";"8061AJ";"HASSELT";"Overijssel";"Bo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"1896";"Zwartewaterland";"8267";"Kampen";"04MA";"00";"Chr Basissch De Driester";"8281PG";"GENEMUIDEN";"Overijssel";"Bo";"Protestants-Christelijk";"30967";"0";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
