"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0642";"Zwijndrecht";"1106";"Amsterdam";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"2953";"Alblasserdam";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"2989";"Ridderkerk";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"2995";"Zwijndrecht";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"<5";"0";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"3077";"Rotterdam";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"3311";"Dordrecht";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"0";"0";"<5";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"3331";"Zwijndrecht";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"<5";"<5";"6";"<5";"8";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"3332";"Zwijndrecht";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"3333";"Zwijndrecht";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0642";"Zwijndrecht";"3334";"Zwijndrecht";"00UE";"00";"SBO De Steenen Kamer";"3332KP";"ZWIJNDRECHT";"Zuid-Holland";"Sbo";"Algemeen bijzonder";"41417";"0";"0";"0";"<5";"<5";"<5";"<5";"<5";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
