"PEILDATUM";"GEMEENTENUMMER";"GEMEENTENAAM";"POSTCODE_LEERLING";"GEMEENTENAAM_LEERLING";"INSTELLINGSCODE";"VESTIGINGSCODE";"INSTELLINGSNAAM_VESTIGING";"POSTCODE_VESTIGING";"PLAATSNAAM";"PROVINCIE";"SOORT_PO";"DENOMINATIE_VESTIGING";"BEVOEGD_GEZAG_NUMMER";"LEEFTIJD_JONGER";"LEEFTIJD_4";"LEEFTIJD_5";"LEEFTIJD_6";"LEEFTIJD_7";"LEEFTIJD_8";"LEEFTIJD_9";"LEEFTIJD_10";"LEEFTIJD_11";"LEEFTIJD_12";"LEEFTIJD_13";"LEEFTIJD_14";"LEEFTIJD_15";"LEEFTIJD_16";"LEEFTIJD_17";"LEEFTIJD_18";"LEEFTIJD_19";"LEEFTIJD_20";"LEEFTIJD_21";"LEEFTIJD_22";"LEEFTIJD_23";"LEEFTIJD_24";"LEEFTIJD_OUDER"
"20241001";"0193";"Zwolle";"7711";"Dalfsen";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"7722";"Dalfsen";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"7951";"Staphorst";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8014";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8017";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8022";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8024";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8031";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8032";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8033";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8042";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"<5";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8043";"Zwolle";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"<5";"<5";"0";"<5";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8051";"Hattem";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8052";"Hattem";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8061";"Zwartewaterland";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8066";"Steenwijkerland";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8084";"Elburg";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8091";"Oldebroek";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"0";"0";"0";"0";"0";"<5";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"20241001";"0193";"Zwolle";"8121";"Olst-Wijhe";"00BZ";"00";"Geref SBO Het Speelwerk";"8031HL";"ZWOLLE";"Overijssel";"Sbo";"Gereformeerd vrijgemaakt";"41632";"0";"<5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
