POSTCODE;LAT;LON
1011;52,3709931;4,9041959
1012;52,3733409;4,8950793
1013;52,3882877;4,8831456
1014;52,3927170;4,8604752
1015;52,3783154;4,8835851
1016;52,3711933;4,8822686
1017;52,3632037;4,8927305
1018;52,3676537;4,9179311
1019;52,3730240;4,9397200
1021;52,3849558;4,9172323
1022;52,3941965;4,9281954
1023;52,3904425;4,9474722
1024;52,3941890;4,9548211
1025;52,3984579;4,9359471
1026;52,3796953;4,9945861
1027;52,4092204;4,9650309
1028;52,4034795;5,0117802
1031;52,3898799;4,9093718
1032;52,3968039;4,9142004
1033;52,4118267;4,8903771
1034;52,4079233;4,9181303
1035;52,4196639;4,8957294
1036;52,4083093;4,9033482
1037;52,4274252;4,8631894
1041;52,4130607;4,8389791
1042;52,4034216;4,8365172
1043;52,3893356;4,8327939
1044;52,4075831;4,8104922
1045;52,4116158;4,7938783
1046;52,3930283;4,7888608
1047;52,4062904;4,7605569
1051;52,3820755;4,8717741
1052;52,3769586;4,8740855
1053;52,3668764;4,8683304
1054;52,3619314;4,8677705
1055;52,3805040;4,8533445
1056;52,3733903;4,8556300
1057;52,3678128;4,8554018
1058;52,3580282;4,8510564
1059;52,3485373;4,8469828
1060;52,3489971;4,7842039
1061;52,3745580;4,8405107
1062;52,3559864;4,8385127
1063;52,3817232;4,8265143
1064;52,3750291;4,8217005
1065;52,3579429;4,8275548
1066;52,3462302;4,8160145
1067;52,3785567;4,7979407
1068;52,3593826;4,8053962
1069;52,3561545;4,7895817
1071;52,3556582;4,8786331
1072;52,3534858;4,8905172
1073;52,3529590;4,8986886
1074;52,3538714;4,9045778
1075;52,3520453;4,8598475
1076;52,3453766;4,8616558
1077;52,3471161;4,8745605
1078;52,3464249;4,8975667
1079;52,3425527;4,9037123
1081;52,3285453;4,8617474
1082;52,3302314;4,8748963
1083;52,3295476;4,8855684
1086;52,3623952;4,9821317
1087;52,3541526;5,0021506
1091;52,3555847;4,9144617
1092;52,3565922;4,9228083
1093;52,3620823;4,9278293
1094;52,3624702;4,9362425
1095;52,3646520;4,9467951
